Ticker,Industry,Dividend Yield,Volume
SHW,Specialty Chemicals,0.79,644797
ADP,Software - Application,2.06,664233
GS,Capital Markets,2.1,1234740
PNC,Banks - Regional,3.19,637841
USB,Banks - Regional,3.93,4375239
BDX,Medical Instruments & Supplies,1.75,1138058
NSC,Railroads,2.14,558981
ITW,Specialty Industrial Machinery,2.32,475029
CI,Healthcare Plans,1.85,859660
EQIX,REIT - Specialty,1.87,174544
REGN,Biotechnology,0.0,387383
EW,Medical Devices,0.0,1305174
APD,Specialty Chemicals,2.14,577541
SHW,Specialty Chemicals,0.79,645939
ADP,Software - Application,2.06,664437
GS,Capital Markets,2.1,1234960
PNC,Banks - Regional,3.19,638051
USB,Banks - Regional,3.93,4389516
BDX,Medical Instruments & Supplies,1.75,1138929
NSC,Railroads,2.14,559401
ITW,Specialty Industrial Machinery,2.32,476080
CI,Healthcare Plans,1.85,860658
EQIX,REIT - Specialty,1.87,174938
REGN,Biotechnology,0.0,393115
EW,Medical Devices,0.0,1308208
APD,Specialty Chemicals,2.14,578346
SHW,Specialty Chemicals,0.79,647933
ADP,Software - Application,2.06,665386
GS,Capital Markets,2.1,1236772
PNC,Banks - Regional,3.19,647925
USB,Banks - Regional,3.93,4399000
BDX,Medical Instruments & Supplies,1.75,1139783
NSC,Railroads,2.14,559988
ITW,Specialty Industrial Machinery,2.32,477232
CI,Healthcare Plans,1.85,860880
EQIX,REIT - Specialty,1.87,175194
REGN,Biotechnology,0.0,393823
EW,Medical Devices,0.0,1309980
APD,Specialty Chemicals,2.14,578662
SHW,Specialty Chemicals,0.79,649679
ADP,Software - Application,2.06,666804
GS,Capital Markets,2.1,1239234
PNC,Banks - Regional,3.19,648117
USB,Banks - Regional,3.93,4418201
BDX,Medical Instruments & Supplies,1.75,1140379
NSC,Railroads,2.14,560126
ITW,Specialty Industrial Machinery,2.32,477530
CI,Healthcare Plans,1.85,861639
EQIX,REIT - Specialty,1.87,175237
REGN,Biotechnology,0.0,395819
EW,Medical Devices,0.0,1312068
APD,Specialty Chemicals,2.14,579829
SHW,Specialty Chemicals,0.79,651175
ADP,Software - Application,2.06,667079
GS,Capital Markets,2.1,1241360
PNC,Banks - Regional,3.19,650650
USB,Banks - Regional,3.93,4447838
BDX,Medical Instruments & Supplies,1.75,1142849
NSC,Railroads,2.14,561243
ITW,Specialty Industrial Machinery,2.32,478658
CI,Healthcare Plans,1.85,864774
EQIX,REIT - Specialty,1.87,175803
REGN,Biotechnology,0.0,396585
EW,Medical Devices,0.0,1313795
APD,Specialty Chemicals,2.14,582511
SHW,Specialty Chemicals,0.79,651842
ADP,Software - Application,2.06,669411
GS,Capital Markets,2.1,1245461
PNC,Banks - Regional,3.19,652847
USB,Banks - Regional,3.93,4455661
BDX,Medical Instruments & Supplies,1.75,1143423
NSC,Railroads,2.14,561451
ITW,Specialty Industrial Machinery,2.32,478772
CI,Healthcare Plans,1.85,866805
EQIX,REIT - Specialty,1.87,175840
REGN,Biotechnology,0.0,397458
EW,Medical Devices,0.0,1316088
APD,Specialty Chemicals,2.14,582879
SHW,Specialty Chemicals,0.79,652026
ADP,Software - Application,2.06,669702
GS,Capital Markets,2.1,1246530
PNC,Banks - Regional,3.19,653745
USB,Banks - Regional,3.93,4459483
BDX,Medical Instruments & Supplies,1.75,1144037
NSC,Railroads,2.14,561705
ITW,Specialty Industrial Machinery,2.32,479099
CI,Healthcare Plans,1.85,870367
EQIX,REIT - Specialty,1.87,175864
REGN,Biotechnology,0.0,398076
EW,Medical Devices,0.0,1318354
APD,Specialty Chemicals,2.14,584363
SHW,Specialty Chemicals,0.79,652389
ADP,Software - Application,2.06,670799
GS,Capital Markets,2.1,1249241
PNC,Banks - Regional,3.19,655349
USB,Banks - Regional,3.93,4470851
BDX,Medical Instruments & Supplies,1.75,1148692
NSC,Railroads,2.14,562397
ITW,Specialty Industrial Machinery,2.32,479872
CI,Healthcare Plans,1.85,876696
EQIX,REIT - Specialty,1.87,175984
REGN,Biotechnology,0.0,399004
EW,Medical Devices,0.0,1323223
APD,Specialty Chemicals,2.14,586242
SHW,Specialty Chemicals,0.79,652632
ADP,Software - Application,2.06,671975
GS,Capital Markets,2.1,1250634
PNC,Banks - Regional,3.19,656187
USB,Banks - Regional,3.93,4475715
BDX,Medical Instruments & Supplies,1.75,1149917
NSC,Railroads,2.14,562733
ITW,Specialty Industrial Machinery,2.32,480305
CI,Healthcare Plans,1.85,877083
EQIX,REIT - Specialty,1.87,176174
REGN,Biotechnology,0.0,400272
EW,Medical Devices,0.0,1326633
APD,Specialty Chemicals,2.14,587379
SHW,Specialty Chemicals,0.79,654178
ADP,Software - Application,2.06,675696
GS,Capital Markets,2.1,1252149
PNC,Banks - Regional,3.19,657238
USB,Banks - Regional,3.93,4486355
BDX,Medical Instruments & Supplies,1.75,1151710
NSC,Railroads,2.14,563397
ITW,Specialty Industrial Machinery,2.32,480996
CI,Healthcare Plans,1.85,880098
EQIX,REIT - Specialty,1.87,176220
REGN,Biotechnology,0.0,400704
EW,Medical Devices,0.0,1327915
APD,Specialty Chemicals,2.14,587882
SHW,Specialty Chemicals,0.79,655119
ADP,Software - Application,2.06,677229
GS,Capital Markets,2.1,1253581
PNC,Banks - Regional,3.19,657959
USB,Banks - Regional,3.93,4496642
BDX,Medical Instruments & Supplies,1.75,1153398
NSC,Railroads,2.14,564364
ITW,Specialty Industrial Machinery,2.32,482510
CI,Healthcare Plans,1.85,881707
EQIX,REIT - Specialty,1.87,176412
REGN,Biotechnology,0.0,401358
EW,Medical Devices,0.0,1330638
APD,Specialty Chemicals,2.14,592894
SHW,Specialty Chemicals,0.79,658576
ADP,Software - Application,2.06,679832
GS,Capital Markets,2.1,1255045
PNC,Banks - Regional,3.19,659991
USB,Banks - Regional,3.93,4513738
BDX,Medical Instruments & Supplies,1.75,1154588
NSC,Railroads,2.14,565944
ITW,Specialty Industrial Machinery,2.32,483178
CI,Healthcare Plans,1.85,883588
EQIX,REIT - Specialty,1.87,176420
REGN,Biotechnology,0.0,401565
EW,Medical Devices,0.0,1331197
APD,Specialty Chemicals,2.14,593735
SHW,Specialty Chemicals,0.79,658804
ADP,Software - Application,2.06,680290
GS,Capital Markets,2.1,1256339
PNC,Banks - Regional,3.19,661319
USB,Banks - Regional,3.93,4519780
BDX,Medical Instruments & Supplies,1.75,1155766
NSC,Railroads,2.14,566400
ITW,Specialty Industrial Machinery,2.32,483904
CI,Healthcare Plans,1.85,883813
EQIX,REIT - Specialty,1.87,176426
REGN,Biotechnology,0.0,402256
EW,Medical Devices,0.0,1332579
APD,Specialty Chemicals,2.14,596985
SHW,Specialty Chemicals,0.79,659526
ADP,Software - Application,2.06,680628
GS,Capital Markets,2.1,1256843
PNC,Banks - Regional,3.19,661604
USB,Banks - Regional,3.93,4525780
BDX,Medical Instruments & Supplies,1.75,1157309
NSC,Railroads,2.14,566712
ITW,Specialty Industrial Machinery,2.32,484540
CI,Healthcare Plans,1.85,883930
EQIX,REIT - Specialty,1.87,176498
REGN,Biotechnology,0.0,402582
EW,Medical Devices,0.0,1334770
APD,Specialty Chemicals,2.14,604012
SHW,Specialty Chemicals,0.79,659802
ADP,Software - Application,2.06,680988
GS,Capital Markets,2.1,1258409
PNC,Banks - Regional,3.19,663737
USB,Banks - Regional,3.93,4532265
BDX,Medical Instruments & Supplies,1.75,1158953
NSC,Railroads,2.14,567062
ITW,Specialty Industrial Machinery,2.32,484882
CI,Healthcare Plans,1.85,885294
EQIX,REIT - Specialty,1.87,177164
REGN,Biotechnology,0.0,402754
EW,Medical Devices,0.0,1339892
APD,Specialty Chemicals,2.14,607201
SHW,Specialty Chemicals,0.79,662579
ADP,Software - Application,2.06,683202
GS,Capital Markets,2.1,1263152
PNC,Banks - Regional,3.19,666985
USB,Banks - Regional,3.93,4547297
BDX,Medical Instruments & Supplies,1.75,1161984
NSC,Railroads,2.14,567984
ITW,Specialty Industrial Machinery,2.32,486803
CI,Healthcare Plans,1.85,886206
EQIX,REIT - Specialty,1.87,177284
REGN,Biotechnology,0.0,403055
EW,Medical Devices,0.0,1342082
APD,Specialty Chemicals,2.14,612344
SHW,Specialty Chemicals,0.79,663847
ADP,Software - Application,2.06,685269
GS,Capital Markets,2.1,1264543
PNC,Banks - Regional,3.19,667424
USB,Banks - Regional,3.93,4580102
BDX,Medical Instruments & Supplies,1.75,1163597
NSC,Railroads,2.14,569483
ITW,Specialty Industrial Machinery,2.32,488369
CI,Healthcare Plans,1.85,886261
EQIX,REIT - Specialty,1.87,177732
REGN,Biotechnology,0.0,407208
EW,Medical Devices,0.0,1342707
APD,Specialty Chemicals,2.14,614394
SHW,Specialty Chemicals,0.79,665118
ADP,Software - Application,2.06,686338
GS,Capital Markets,2.1,1266349
PNC,Banks - Regional,3.19,669102
USB,Banks - Regional,3.93,4594671
BDX,Medical Instruments & Supplies,1.75,1164377
NSC,Railroads,2.14,570767
ITW,Specialty Industrial Machinery,2.32,489365
CI,Healthcare Plans,1.85,888064
EQIX,REIT - Specialty,1.87,177825
REGN,Biotechnology,0.0,408609
EW,Medical Devices,0.0,1344569
APD,Specialty Chemicals,2.14,617223
SHW,Specialty Chemicals,0.79,666424
ADP,Software - Application,2.06,686957
GS,Capital Markets,2.1,1268536
PNC,Banks - Regional,3.19,670157
USB,Banks - Regional,3.93,4603535
BDX,Medical Instruments & Supplies,1.75,1166728
NSC,Railroads,2.14,571252
ITW,Specialty Industrial Machinery,2.32,490527
CI,Healthcare Plans,1.85,889278
EQIX,REIT - Specialty,1.87,177954
REGN,Biotechnology,0.0,410489
EW,Medical Devices,0.0,1345687
APD,Specialty Chemicals,2.14,624250
SHW,Specialty Chemicals,0.79,670464
ADP,Software - Application,2.06,687800
GS,Capital Markets,2.1,1270314
PNC,Banks - Regional,3.19,670678
USB,Banks - Regional,3.93,4609470
BDX,Medical Instruments & Supplies,1.75,1167919
NSC,Railroads,2.14,571488
ITW,Specialty Industrial Machinery,2.32,495362
CI,Healthcare Plans,1.85,889871
EQIX,REIT - Specialty,1.87,177997
REGN,Biotechnology,0.0,412158
EW,Medical Devices,0.0,1347139
APD,Specialty Chemicals,2.14,625806
SHW,Specialty Chemicals,0.79,670582
ADP,Software - Application,2.06,688477
GS,Capital Markets,2.1,1271605
PNC,Banks - Regional,3.19,671708
USB,Banks - Regional,3.93,4615760
BDX,Medical Instruments & Supplies,1.75,1168400
NSC,Railroads,2.14,577429
ITW,Specialty Industrial Machinery,2.32,505668
CI,Healthcare Plans,1.85,890301
EQIX,REIT - Specialty,1.87,178037
REGN,Biotechnology,0.0,414019
EW,Medical Devices,0.0,1349513
APD,Specialty Chemicals,2.14,626759
SHW,Specialty Chemicals,0.79,672249
ADP,Software - Application,2.06,691066
GS,Capital Markets,2.1,1274435
PNC,Banks - Regional,3.19,672336
USB,Banks - Regional,3.93,4624130
BDX,Medical Instruments & Supplies,1.75,1170254
NSC,Railroads,2.14,578435
ITW,Specialty Industrial Machinery,2.32,525147
CI,Healthcare Plans,1.85,891174
EQIX,REIT - Specialty,1.87,178085
REGN,Biotechnology,0.0,414274
EW,Medical Devices,0.0,1353502
APD,Specialty Chemicals,2.14,627592
SHW,Specialty Chemicals,0.79,673842
ADP,Software - Application,2.06,692538
GS,Capital Markets,2.1,1274926
PNC,Banks - Regional,3.19,673106
USB,Banks - Regional,3.93,4630118
BDX,Medical Instruments & Supplies,1.75,1171042
NSC,Railroads,2.14,580150
ITW,Specialty Industrial Machinery,2.32,527935
CI,Healthcare Plans,1.85,892074
EQIX,REIT - Specialty,1.87,178283
REGN,Biotechnology,0.0,414378
EW,Medical Devices,0.0,1355773
APD,Specialty Chemicals,2.14,628083
SHW,Specialty Chemicals,0.79,674132
ADP,Software - Application,2.06,693349
GS,Capital Markets,2.1,1276461
PNC,Banks - Regional,3.19,673872
USB,Banks - Regional,3.93,4640369
BDX,Medical Instruments & Supplies,1.75,1171911
NSC,Railroads,2.14,581016
ITW,Specialty Industrial Machinery,2.32,530102
CI,Healthcare Plans,1.85,896334
EQIX,REIT - Specialty,1.87,178307
REGN,Biotechnology,0.0,415532
EW,Medical Devices,0.0,1358073
APD,Specialty Chemicals,2.14,629884
SHW,Specialty Chemicals,0.79,677005
ADP,Software - Application,2.06,695716
GS,Capital Markets,2.1,1277899
PNC,Banks - Regional,3.19,676280
USB,Banks - Regional,3.93,4645480
BDX,Medical Instruments & Supplies,1.75,1172782
NSC,Railroads,2.14,581245
ITW,Specialty Industrial Machinery,2.32,534161
CI,Healthcare Plans,1.85,897999
EQIX,REIT - Specialty,1.87,179001
REGN,Biotechnology,0.0,416254
EW,Medical Devices,0.0,1361980
APD,Specialty Chemicals,2.14,632407
SHW,Specialty Chemicals,0.79,677842
ADP,Software - Application,2.06,697140
GS,Capital Markets,2.1,1279636
PNC,Banks - Regional,3.19,678578
USB,Banks - Regional,3.93,4652346
BDX,Medical Instruments & Supplies,1.75,1173920
NSC,Railroads,2.14,581924
ITW,Specialty Industrial Machinery,2.32,536226
CI,Healthcare Plans,1.85,898769
EQIX,REIT - Specialty,1.87,179222
REGN,Biotechnology,0.0,417101
EW,Medical Devices,0.0,1365923
APD,Specialty Chemicals,2.14,634966
SHW,Specialty Chemicals,0.79,684223
ADP,Software - Application,2.06,698197
GS,Capital Markets,2.1,1282323
PNC,Banks - Regional,3.19,679956
USB,Banks - Regional,3.93,4658455
